"ID","Player","Team","Position","Prim Pos","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","TK/GV","Cor"
"*05kuc*","Tyler Kleven","OTT","D","D","183","TommyG10","24","1,000,000","FA","60","14%","-3%","70","18","3","15","21","53","90","2","126","94","0.37","118"
"*01lkz*","Taylor Hall","CAR","F","F","185","TommyG10","34","1,000,000","FA","59.62","24%","-1%","77","0","15","28","58","44","130","6","52","30","0.33","369"
"*02yjp*","Ivan Barbashev","VGK","F","F","186","TommyG10","30","1,100,000","BID","59.6","66%","-1%","77","0","22","36","80","12","125","6","132","35","0.18","72"
"*03de2*","Brandon Montour","SEA","D","D","187","mcianfra","31","7,400,000","BID","59.56","88%","-1%","57","31","10","21","41","41","154","8","63","71","0.31","-59"
"*004jl*","Brad Marchand","FLA","F","F","188","Gavitron","37","4,200,000","BID","59.54","89%","-2%","52","0","27","27","81","38","138","20","36","16","0.27","26"
"*03ecl*","Gustav Forsling","FLA","D","D","189","Wags8210","29","1,300,000","BID","59.52","42%","-1%","76","27","2","25","29","49","107","2","51","89","0.46","161"
"*01587*","Jordan Eberle","SEA","F","F","190","mertin","35","1,000,000","FA","59.46","49%","-2%","73","0","24","28","76","28","158","16","53","41","0.44","-83"
"*03as9*","Dylan Strome","WSH","F","F","191","CHKY","29","3,200,000","BID","59.46","88%","-2%","76","0","18","37","73","44","138","20","10","50","0.25","-4"
"*05kbn*","Will Cuylle","NYR","F","F","192","nebsnave","24","2,700,000","BID","59.32","65%","-3%","78","0","17","17","51","52","147","8","276","64","0.18","-17"
"*03j8l*","Noah Hanifin","VGK","D","D","194","Wags8210","29","2,800,000","BID","59.01","59%","-2%","66","25","3","22","28","14","126","7","35","109","0.36","168"
"*05rf2*","Logan Stankoven","CAR","F","F","195","btsay45","23","1,600,000","BID","58.91","55%","0%","77","0","18","20","56","25","157","7","48","20","0.56","477"
"*0045u*","Jordan Staal","CAR","F","F","196","FA","37","1,000,000","FA","58.81","22%","0%","73","0","19","14","52","29","101","5","161","45","0.36","308"
"*04yqp*","Anton Lundell","FLA","F","F","197","TommyG10","24","1,900,000","BID","58.72","69%","-4%","64","0","18","26","62","34","138","19","75","35","0.22","78"
"*03rad*","Thomas Chabot","OTT","D","D","198","Wags8210","29","2,900,000","BID","58.66","76%","-8%","55","31","7","24","38","22","96","9","36","108","0.44","102"
"*02b3o*","Rickard Rakell","PIT","F","F","199","mertin","32","2,800,000","BID","58.65","82%","0%","57","0","24","24","72","8","154","18","71","39","0.53","-21"
"*05r1l*","William Eklund","SJS","F","F","200","CHKY","23","4,900,000","BID","58.62","76%","-1%","71","0","13","33","59","30","164","14","64","50","0.30","15"
"*04l8y*","Mark Kastelic","BOS","F","F","201","nbracken","27","1,000,000","FA","58.61","23%","-1%","78","0","9","9","27","138","92","2","207","62","0.70","-91"
"*051tx*","Aliaksei Protas","WSH","F","F","202","nbracken","25","1,600,000","BID","58.59","77%","-2%","72","0","24","25","73","20","152","4","32","39","0.30","146"
"*02aez*","J.T. Miller","NYR","F","F","204","CHKY","33","7,500,000","BID","58.45","89%","-2%","64","0","16","32","64","28","134","16","119","29","0.18","20"
