"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*03ra8*","Timo Meier","NJD","F","F","","121","M.M","29","5,500,000","BID","75.17","84%","-1%","79","0","26","22","74","32","265","12","133","55","0","0"
"*02noq*","Mike Matheson","MTL","D","D","","122","nebsnave","32","2,500,000","BID","75.08","84%","0%","81","40","7","33","47","41","130","7","60","161","0","0"
"*04y4m*","Connor Bedard","CHI","F","F","","123","CGN","21","14,700,000","BID","75.04","99%","0%","66","0","26","42","94","48","203","21","33","27","0","0"
"*03167*","Bo Horvat","NYI","F","F","","124","TommyG10","31","4,000,000","BID","74.96","93%","-1%","73","0","31","29","91","37","237","16","60","40","0","0"
"*01f3d*","Oliver Ekman-Larsson","TOR","D","D","","126","TommyG10","35","1,000,000","FA","74.29","54%","-1%","81","38","8","30","46","71","114","8","94","75","0","0"
"*05kbn*","Will Cuylle","NYR","F","F","","127","nebsnave","24","2,700,000","BID","74.25","69%","-3%","84","0","19","19","57","62","157","6","304","64","0","0"
"*01f6d*","Ryan O'Reilly","NSH","F","F","","128","M.M","35","6,000,000","BID","74.25","88%","0%","83","0","26","47","99","24","161","22","19","69","0","0"
"*03as8*","Nikolaj Ehlers","CAR","F","F","","129","BHHC","30","5,000,000","BID","74.18","95%","0%","82","0","28","45","101","17","209","26","26","28","0","0"
"*051yz*","Dylan Holloway","STL","F","F","","131","BHHC","25","4,500,000","BID","74.02","97%","0%","69","0","26","33","85","23","180","10","152","46","0","0"
"*06fzv*","Cole Hutson","WSH","D","D","R","132","Wags8210","20","0","MNR","74.02","98%","0%","63","40","13","27","53","36","148","28","72","27","0","0"
"*02wy5*","Nikita Zadorov","BOS","D","D","","133","nbracken","31","1,900,000","BID","74","44%","0%","83","23","4","19","27","153","108","0","203","102","0","0"
"*04zo0*","Pavel Dorofeyev","NYR","F","F","","134","nebsnave","25","2,800,000","BID","73.77","93%","0%","81","0","35","25","95","25","226","26","27","30","0","0"
"*02b3o*","Rickard Rakell","PIT","F","F","","136","mertin","33","2,800,000","BID","73.45","87%","0%","73","0","29","29","87","11","195","19","92","54","0","0"
"*02uws*","Mathew Barzal","NYI","F","F","","139","nebsnave","29","2,600,000","BID","73.18","89%","-1%","76","0","17","49","83","51","178","19","32","48","0","0"
"*01c32*","Brayden Schenn","NYI","F","F","","140","Wags8210","35","1,000,000","BID","72.91","36%","-2%","82","0","19","25","63","68","131","9","185","45","0","0"
"*04lcs*","Mattias Samuelsson","BUF","D","D","","141","nebsnave","26","2,600,000","BID","72.91","88%","-2%","74","36","11","25","47","28","96","3","129","142","0","0"
"*049ph*","Neal Pionk","WPG","D","D","","142","BHHC","31","4,300,000","BID","72.8","46%","-1%","74","24","6","18","30","55","142","7","162","110","0","0"
"*04qve*","K'Andre Miller","CAR","D","D","","143","SPG","26","4,500,000","RFA1","72.79","71%","-1%","75","36","8","28","44","51","122","6","110","90","0","0"
"*031og*","Tyler Bertuzzi","CHI","F","F","","145","btsay45","31","1,300,000","BID","72.67","66%","-2%","81","0","30","26","86","46","163","21","61","27","0","0"
"*01mz5*","Dmitry Orlov","SJS","D","D","","147","btsay45","35","2,000,000","BID","72.49","43%","-1%","83","36","4","32","40","45","101","15","122","75","0","0"
"*04yu5*","Thomas Harley","DAL","D","D","","148","nbracken","25","8,500,000","BID","72.46","92%","0%","75","41","9","32","50","25","128","9","42","145","0","0"
"*024lv*","Mattias Ekholm","EDM","D","D","","149","CGN","36","1,000,000","BID","72.45","77%","+1%","82","41","7","34","48","34","140","3","71","120","0","0"
"*03yh8*","Owen Tippett","PHI","F","F","","150","M.M","27","4,900,000","BID","72.38","81%","-1%","76","0","26","22","74","26","208","9","147","49","0","0"
"*048x9*","Elias Pettersson","VAN","F","F","","151","CGN","27","9,500,000","BID","72.38","86%","-1%","76","0","16","39","71","18","139","23","76","102","0","0"
"*01zvf*","Mark Stone","VGK","F","F","","152","nbracken","34","2,800,000","BID","72.27","94%","0%","62","0","27","46","100","11","133","28","32","46","0","0"
"*03as9*","Dylan Strome","WSH","F","F","","153","ROO","29","3,200,000","BID","72.21","88%","-1%","82","0","22","42","86","43","150","24","12","55","0","0"
"*02noe*","Morgan Rielly","TOR","D","D","","154","btsay45","32","1,500,000","BID","72.11","71%","0%","80","40","10","30","50","29","145","9","40","123","0","0"
"*04ldb*","Bowen Byram","CHI","D","D","","155","M.M","25","3,500,000","BID","72.05","98%","0%","83","41","10","31","51","49","107","7","59","100","0","0"
"*04ln4*","Kiefer Sherwood","SJS","F","F","","156","M.M","31","5,200,000","BID","71.74","68%","-2%","75","0","22","15","59","48","165","10","354","31","0","0"
"*04apb*","Robert Thomas","STL","F","F","","157","mcianfra","27","5,300,000","BID","71.64","98%","0%","75","0","28","49","105","29","129","19","13","47","0","0"
"*03e7p*","Travis Sanheim","PHI","D","D","","158","M.M","30","6,200,000","BID","71.38","68%","-1%","83","37","10","27","47","27","110","7","58","159","0","0"
"*03rae*","Joel Eriksson Ek","MIN","F","F","","159","BHHC","29","2,500,000","BID","71.36","87%","-1%","70","0","19","30","68","34","199","16","112","38","0","0"
"*04y8g*","Trevor Zegras","PHI","F","F","","160","CGN","25","7,850,000","RFA1","71.31","92%","-1%","75","0","24","36","84","54","151","18","46","28","0","0"
"*0045k*","Evgeni Malkin","PIT","F","F","","161","nbracken","40","1,100,000","BID","71.27","86%","-1%","61","0","19","42","80","60","154","22","27","25","0","0"
"*03mm6*","Lawson Crouse","UTA","F","F","","162","Wags8210","29","1,100,000","BID","71.06","46%","-3%","83","0","23","18","64","46","145","4","211","53","0","0"
"*01zu5*","Justin Faulk","DET","D","D","","164","btsay45","34","1,600,000","BID","70.92","54%","-2%","69","34","11","23","45","37","128","10","66","112","0","0"
"*05ltt*","Alex Laferriere","LAK","F","F","","165","mcianfra","24","3,550,000","RFA1","70.92","76%","-2%","84","0","20","22","62","23","206","6","226","47","0","0"
"*0243f*","Seth Jones","FLA","D","D","","166","mcianfra","31","3,000,000","BID","70.83","87%","0%","71","33","8","25","41","26","132","19","74","98","0","0"
"*03ekl*","Vladislav Gavrikov","NYR","D","D","","167","M.M","30","1,000,000","FA","70.81","39%","-1%","84","36","13","23","49","46","120","5","53","114","0","0"
"*03l0t*","Pavel Zacha","BOS","F","F","","168","mcianfra","29","3,000,000","BID","70.79","85%","-1%","81","0","28","36","92","27","136","19","70","28","0","0"
"*04lo0*","Quinton Byfield","LAK","F","F","","169","BULLIES","24","8,900,000","BID","70.68","92%","-1%","81","0","24","29","77","47","179","12","71","41","0","0"
"*01ztp*","Zach Hyman","EDM","F","F","","170","Wags8210","34","3,000,000","BID","70.53","98%","0%","65","0","33","22","88","32","184","17","61","23","0","0"
"*03w5m*","Gabriel Vilardi","WPG","F","F","","171","BHHC","27","3,300,000","BID","70.42","86%","-1%","80","0","30","36","96","22","149","24","19","37","0","0"
"*04amg*","Alexis Lafreniere","NYR","F","F","","172","PuckLuck","24","2,700,000","BID","70.34","88%","-1%","84","0","25","33","83","26","172","12","90","39","0","0"
"*02fzj*","Blake Coleman","MIN","F","F","","173","TommyG10","34","1,000,000","BID","70.23","40%","-3%","74","0","20","17","57","51","184","5","157","53","0","0"
"*01f3e*","Nazem Kadri","COL","F","F","","174","ROO","35","2,700,000","BID","70.21","73%","-2%","76","0","19","35","73","37","224","19","50","29","0","0"
"*02ytx*","Ryan Hartman","MIN","F","F","","175","mertin","32","1,000,000","FA","70.16","47%","-3%","76","0","22","19","63","55","170","9","69","86","0","0"
"*02np6*","Jake McCabe","TOR","D","D","","176","ROO","32","1,000,000","FA","70.06","35%","-1%","79","25","5","20","30","61","78","0","121","180","0","0"
"*05r1l*","William Eklund","OTT","F","F","","178","ROO","23","4,900,000","BID","69.78","89%","-1%","81","0","16","39","71","32","172","17","68","53","0","0"
"*03dms*","Kevin Fiala","LAK","F","F","","179","SPG","30","3,600,000","BID","69.77","75%","-3%","68","0","24","27","75","42","185","21","49","26","0","0"
"*031p3*","Carter Verhaeghe","FLA","F","F","","180","Wags8210","31","2,900,000","BID","69.77","73%","-2%","76","0","25","31","81","34","196","14","69","23","0","0"
"*0045j*","Kris Letang","PIT","D","D","","181","TommyG10","39","1,000,000","BID","69.68","44%","-2%","71","33","4","29","37","41","112","10","98","94","0","0"
"*03c0c*","Josh Manson","COL","D","D","","182","mertin","34","1,000,000","FA","69.66","40%","-2%","68","26","4","22","30","74","108","0","154","86","0","0"
"*01f3c*","Evander Kane","(N/A)","F","F","","183","FA","35","1,000,000","FA","69.62","13%","-3%","74","0","15","18","48","93","182","6","134","29","0","0"
"*03rad*","Thomas Chabot","OTT","D","D","","184","Wags8210","29","2,900,000","BID","69.55","82%","-1%","66","36","8","28","44","26","126","10","44","127","0","0"
"*025by*","Ben Chiarot","DET","D","D","","185","PuckLuck","35","1,000,000","BID","69.4","20%","-1%","80","16","6","10","22","70","102","0","159","154","0","0"
"*05y3a*","Leo Carlsson","ANA","F","F","","186","M.M","21","7,680,000","RFA1","69.4","96%","0%","72","0","27","36","90","30","177","19","18","31","0","0"
"*03pax*","Ivan Provorov","CBJ","D","D","","187","nebsnave","29","1,000,000","FA","69.25","36%","-2%","84","34","9","25","43","32","149","5","33","139","0","0"
"*05j3d*","Bobby McMann","SEA","F","F","","188","TommyG10","30","1,000,000","BID","69.18","51%","-3%","78","0","28","16","72","34","178","5","160","26","0","0"
"*02440*","Anders Lee","UTA","F","F","","189","BULLIES","36","4,100,000","BID","68.92","31%","-2%","84","0","19","22","60","46","208","9","107","40","0","0"
"*03wpi*","Pierre-Luc Dubois","WSH","F","F","","190","CGN","28","7,600,000","BID","68.88","53%","-2%","78","0","16","36","68","60","127","14","69","44","0","0"
"*020f4*","Adam Larsson","SEA","D","D","","191","FA","33","1,000,000","FA","68.77","23%","-1%","84","24","6","18","30","44","113","0","118","163","0","0"
"*05ui2*","Logan Cooley","UTA","F","F","","192","BULLIES","22","5,800,000","BID","68.75","96%","0%","73","0","27","26","80","37","142","16","67","35","0","0"
"*03as6*","Jared McCann","SEA","F","F","","193","nebsnave","30","2,100,000","BID","68.75","75%","-2%","77","0","26","30","82","18","184","19","47","40","0","0"
