"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*038vb*","Travis Konecny","PHI","F","F","","133","btsay45","29","9,600,000","BID","65.72","95%","0%","77","0","27","41","95","59","168","16","108","38","17","-93"
"*05ltt*","Alex Laferriere","LAK","F","F","","135","mcianfra","24","3,550,000","RFA1","65.36","76%","-2%","82","0","21","23","65","18","209","7","255","49","22","145"
"*03rf8*","Vince Dunn","SEA","D","D","","136","nebsnave","29","2,700,000","BID","65.26","92%","0%","81","44","11","33","55","54","179","21","27","86","29","-210"
"*01mz5*","Dmitry Orlov","SJS","D","D","","138","btsay45","35","2,000,000","BID","64.68","43%","-1%","82","37","3","34","40","48","91","18","123","77","22","37"
"*04y4m*","Connor Bedard","CHI","F","F","","139","CGN","21","14,700,000","BID","64.54","99%","0%","69","0","30","45","105","50","226","21","31","27","27","-253"
"*031p3*","Carter Verhaeghe","FLA","F","F","","140","Wags8210","31","2,900,000","BID","64.46","73%","-2%","77","0","25","30","80","32","187","11","68","22","29","232"
"*03161*","Darnell Nurse","SJS","D","D","","141","mertin","31","3,300,000","BID","64.41","71%","-2%","82","24","7","17","31","104","164","2","137","167","19","-126"
"*01c12*","John Tavares","TOR","F","F","","142","SPG","36","3,800,000","BID","64.36","98%","0%","82","0","31","40","102","28","192","21","74","24","26","-102"
"*06age*","Sam Malinski","COL","D","D","","143","ROO","28","1,500,000","BID","64.23","69%","-1%","82","40","8","32","48","22","164","1","46","95","23","480"
"*01zu5*","Justin Faulk","DET","D","D","","144","btsay45","34","1,600,000","BID","64.17","54%","-2%","78","40","16","24","56","42","148","10","70","132","27","-159"
"*05nzz*","Simon Edvinsson","DET","D","D","","146","M.M","23","3,600,000","BID","63.68","61%","-4%","72","25","9","16","34","75","88","2","94","148","26","56"
"*04amg*","Alexis Lafreniere","NYR","F","F","","147","PuckLuck","24","2,700,000","BID","63.66","88%","-1%","82","0","24","33","81","20","164","15","84","42","25","139"
"*03rgh*","Parker Wotherspoon","VGK","D","D","","148","FA","29","1,000,000","FA","63.48","29%","-2%","80","30","3","27","33","55","70","2","162","112","26","73"
"*04uqa*","Vasily Podkolzin","EDM","F","F","","149","TommyG10","25","900,000","BID","63.41","53%","-2%","82","0","19","18","56","63","139","3","242","52","18","150"
"*02wy5*","Nikita Zadorov","BOS","D","D","","150","nbracken","31","1,900,000","BID","63.38","44%","0%","81","22","2","20","24","152","107","0","196","102","33","-94"
"*05tv0*","Jackson Blake","CAR","F","F","","151","mcianfra","23","7,500,000","BID","63.23","78%","-2%","81","0","22","31","75","40","174","12","13","34","30","474"
"*01zvp*","Bryan Rust","PIT","F","F","","152","Wags8210","34","2,340,000","BID","62.9","92%","0%","72","0","29","36","94","26","183","26","35","71","13","-49"
"*03mm6*","Lawson Crouse","UTA","F","F","","153","Wags8210","29","1,100,000","BID","62.86","46%","-3%","81","0","24","20","68","46","141","3","212","52","15","127"
"*05kbn*","Will Cuylle","NYR","F","F","","154","nebsnave","24","2,700,000","BID","62.85","69%","-3%","82","0","20","18","58","65","157","8","302","68","9","8"
"*02un5*","Sam Reinhart","FLA","F","F","","155","nebsnave","30","10,700,000","BID","62.82","100%","0%","64","0","29","32","90","10","166","29","59","40","15","68"
"*05962*","J.J. Moser","TBL","D","D","","157","SPG","26","1,000,000","FA","62.71","32%","-3%","79","29","7","22","36","69","111","3","61","91","22","361"
"*01zto*","Charlie Coyle","CBJ","F","F","","158","SPG","34","1,000,000","FA","62.05","53%","-3%","82","0","20","38","78","14","144","13","111","53","34","-9"
"*0045k*","Evgeni Malkin","PIT","F","F","","159","nbracken","40","1,100,000","BID","61.99","86%","-1%","56","0","19","42","80","61","148","22","24","17","29","-1"
"*03rfl*","Anthony Cirelli","TBL","F","F","","160","nbracken","29","1,000,000","BID","61.62","61%","-2%","71","0","23","29","75","48","125","8","50","47","25","229"
"*02fzj*","Blake Coleman","MIN","F","F","","161","TommyG10","34","1,000,000","BID","61.44","40%","-3%","69","0","20","15","55","49","176","5","152","48","27","57"
"*04z51*","Charle-Edouard D'Astous","TBL","D","D","","163","FA","28","1,000,000","FA","61.37","32%","-3%","70","29","6","23","35","112","80","2","96","74","21","106"
"*02ybj*","Anthony Mantha","NJD","F","F","","164","FA","32","1,000,000","FA","60.87","61%","-3%","81","0","33","31","97","43","152","13","52","40","20","-32"
"*04ldb*","Bowen Byram","CHI","D","D","","165","M.M","25","3,500,000","BID","60.77","98%","0%","82","42","11","31","53","48","109","8","50","93","22","-31"
"*02yjj*","William Nylander","TOR","F","F","","166","ROO","30","9,100,000","BID","60.77","99%","0%","65","0","30","49","109","16","156","22","13","26","31","-99"
"*04lcs*","Mattias Samuelsson","BUF","D","D","","167","nebsnave","26","2,600,000","BID","60.69","88%","-2%","78","41","13","28","54","28","109","3","132","154","17","-174"
"*04ymn*","Luke Hughes","NJD","D","D","","168","PuckLuck","23","5,400,000","BID","60.65","94%","0%","68","35","6","29","41","32","150","13","19","52","29","246"
"*03ekl*","Vladislav Gavrikov","NYR","D","D","","169","M.M","30","1,000,000","FA","60.55","39%","-1%","82","35","14","21","49","50","119","7","50","105","22","1"
"*03de2*","Brandon Montour","SEA","D","D","","170","mcianfra","32","7,400,000","BID","60.38","87%","0%","64","32","11","21","43","45","174","8","75","78","32","-84"
"*05tur*","Matthew Knies","TOR","F","F","","171","btsay45","23","9,600,000","BID","60.35","98%","0%","79","0","23","43","89","29","140","17","152","32","26","-308"
"*003tz*","Brent Burns","COL","D","D","","172","ROO","41","1,000,000","BID","60.12","49%","-1%","82","35","12","23","47","32","172","1","20","91","18","267"
"*02ytx*","Ryan Hartman","MIN","F","F","","173","mertin","32","1,000,000","FA","60.05","47%","-3%","76","0","23","20","66","48","167","7","64","95","23","2"
"*05gdo*","Luke Evangelista","NJD","F","F","","174","M.M","24","2,790,000","BID","59.89","75%","-1%","81","0","12","44","68","28","176","17","21","21","25","321"
"*01f3e*","Nazem Kadri","COL","F","F","","175","ROO","35","2,700,000","BID","59.88","73%","-2%","77","0","16","34","66","30","213","19","50","30","20","111"
"*02aez*","J.T. Miller","NYR","F","F","","176","ROO","33","7,500,000","BID","59.88","94%","0%","68","0","17","36","70","33","144","20","123","34","15","19"
"*05r1l*","William Eklund","OTT","F","F","","177","ROO","23","4,900,000","BID","59.85","89%","-1%","78","0","15","38","68","32","176","16","72","51","18","52"
"*03rae*","Joel Eriksson Ek","MIN","F","F","","179","BHHC","29","2,500,000","BID","59.39","87%","-1%","70","0","19","32","70","32","194","16","106","34","19","-20"
"*048x9*","Elias Pettersson","VAN","F","F","","180","CGN","27","9,500,000","BID","59.33","86%","-1%","74","0","15","36","66","20","132","23","67","108","31","-136"
"*031og*","Tyler Bertuzzi","CHI","F","F","","181","btsay45","31","1,300,000","BID","59.18","66%","-2%","79","0","32","26","90","42","164","21","55","24","21","-90"
"*03j8l*","Noah Hanifin","VGK","D","D","","182","Wags8210","29","2,800,000","BID","59.16","48%","-3%","71","28","3","25","31","14","135","7","36","116","36","170"
"*01f5z*","Chris Kreider","MTL","F","F","","183","Wags8210","35","1,000,000","FA","59.12","69%","+1%","75","0","22","28","72","34","139","17","69","20","17","252"
"*02yjp*","Ivan Barbashev","VGK","F","F","","184","PuckLuck","30","1,000,000","BID","58.99","74%","-1%","82","0","23","38","84","14","133","6","137","37","15","90"
"*03ecl*","Gustav Forsling","FLA","D","D","","185","M.M","30","1,100,000","BID","58.99","38%","-2%","80","28","2","26","30","51","112","2","52","98","29","162"
"*03jxy*","Auston Matthews","TOR","F","F","","187","btsay45","29","12,900,000","BID","58.88","99%","0%","60","0","27","26","80","18","227","12","42","81","30","-135"
"*02npl*","Damon Severson","CBJ","D","D","","188","FA","32","1,000,000","FA","58.84","15%","-2%","71","32","8","24","40","45","93","4","39","86","28","218"
"*0045j*","Kris Letang","PIT","D","D","","189","TommyG10","39","1,000,000","BID","58.81","44%","-2%","74","34","3","31","37","38","104","10","95","93","26","-45"
"*03ret*","A.J. Greer","ANA","F","F","","190","FA","29","1,000,000","FA","58.81","11%","-1%","78","0","17","15","49","113","104","1","203","29","9","169"
"*03w5m*","Gabriel Vilardi","WPG","F","F","","191","BHHC","27","3,300,000","BID","58.64","86%","-1%","82","0","30","39","99","24","150","24","20","35","14","-26"
"*031nx*","Shea Theodore","VGK","D","D","","193","PuckLuck","31","7,300,000","BID","58.45","96%","0%","70","39","10","29","49","24","130","5","2","87","23","219"
"*03l0t*","Pavel Zacha","BOS","F","F","","194","mcianfra","29","3,000,000","BID","58.45","85%","-1%","78","0","30","35","95","28","131","22","64","26","18","-63"
"*03dug*","Tony DeAngelo","NYI","D","D","","195","FA","30","1,000,000","FA","58.39","32%","-2%","76","35","5","30","40","43","148","7","33","70","20","128"
"*04abd*","Artem Zub","OTT","D","D","","196","FA","30","1,000,000","FA","58.3","16%","-1%","81","30","5","25","35","57","92","0","66","120","26","47"
"*05rf2*","Logan Stankoven","CAR","F","F","","197","btsay45","23","4,400,000","RFA1","58.17","79%","-2%","81","0","21","23","65","25","166","9","50","22","28","503"
"*05gvo*","Matvei Michkov","PHI","F","F","","198","BULLIES","21","13,050,000","BID","58.14","91%","-1%","81","0","20","31","71","71","163","12","33","19","22","22"
"*03as9*","Dylan Strome","WSH","F","F","","199","ROO","29","3,200,000","BID","58.11","88%","-1%","80","0","19","39","77","46","143","21","11","53","19","-5"
"*01lkz*","Taylor Hall","CAR","F","F","","200","FA","34","1,000,000","FA","57.9","33%","-2%","80","0","18","30","66","44","137","7","53","30","21","393"
"*04yu5*","Thomas Harley","DAL","D","D","","201","nbracken","25","8,500,000","BID","57.9","92%","0%","70","36","6","30","42","26","113","7","39","148","36","-125"
"*02g00*","Aaron Ekblad","FLA","D","D","","202","BULLIES","30","2,600,000","BID","57.88","58%","-2%","72","26","4","22","30","55","97","6","84","103","20","106"
"*04apb*","Robert Thomas","STL","F","F","","203","mcianfra","27","5,300,000","BID","57.81","98%","0%","64","0","25","39","89","24","102","17","10","40","31","36"
"*04l8y*","Mark Kastelic","BOS","F","F","","204","FA","27","1,000,000","FA","57.77","18%","-2%","82","0","12","10","34","140","100","2","215","64","30","-80"
"*03wor*","Mason Marchment","SJS","F","F","","205","PuckLuck","31","1,000,000","BID","57.54","54%","-1%","68","0","19","26","64","56","119","7","84","28","29","61"
"*01f3d*","Oliver Ekman-Larsson","TOR","D","D","","206","TommyG10","35","1,000,000","FA","57.36","54%","-1%","78","39","8","31","47","70","108","9","86","72","16","-163"
"*01587*","Jordan Eberle","SEA","F","F","","207","CGN","36","1,000,000","FA","57.28","35%","-2%","80","0","26","29","81","28","168","16","55","43","24","-78"
